Gender,Age,Education_Level,Relationship_Status,Unit,Decision_skill_possess,Time_of_service,Time_since_promotion,growth_rate,Travel_Rate,Post_Level,Pay_Scale,Compensation_and_Benefits,Work_Life_balance,VAR1,VAR5,VAR6,VAR7,Attrition_rate
F,30,4,Married,Logistics,Behavioral,6.0,3,52,1,1,2,type4,1.0,3,1,8,3,0.0456
F,56,1,Married,Purchasing,Conceptual,32.0,3,36,1,2,9,type2,2.0,3,3,8,5,0.0556
F,31,3,Single,R&D,Directive,9.0,4,21,0,4,7,type2,2.0,1,2,8,3,0.0549
M,21,3,Married,R&D,Conceptual,2.0,2,53,1,1,6,type2,1.0,4,2,6,3,0.562
F,60,4,Single,R&D,Behavioral,37.0,4,31,2,3,6,type3,3.0,4,4,8,3,0.109
M,25,3,Married,Sales,Conceptual,6.0,2,67,0,2,5,type3,3.0,1,4,5,3,0.0517
F,60,3,Married,Marketing,Directive,33.0,3,66,0,3,5,type2,2.0,3,1,5,3,0.2712
F,65,3,Married,IT,Behavioral,36.0,3,42,1,4,5,type2,3.0,3,3,8,3,0.1194
M,52,3,Married,Sales,Conceptual,28.0,3,32,2,1,4,type3,2.0,5,3,7,1,0.1638
M,42,3,Married,Human Resource Management,Conceptual,11.0,3,39,0,3,5,type4,3.0,3,3,7,5,0.0724
F,25,3,Single,Sales,Analytical,6.0,2,33,1,4,9,type2,3.0,3,2,8,2,0.1812
F,27,3,Married,IT,Behavioral,4.0,4,24,0,5,9,type2,3.0,2,3,7,3,0.0925
M,32,1,Married,Human Resource Management,Analytical,5.0,1,44,0,3,8,type1,3.0,3,3,6,3,0.1659
F,52,3,Married,Human Resource Management,Analytical,13.385064177362894,2,57,1,3,6,type3,4.0,2,2,7,3,0.0065
F,31,3,Single,IT,Analytical,2.0,2,61,1,3,5,type3,1.0,3,4,8,4,0.1545
F,45,2,Single,Purchasing,Analytical,21.0,2,36,1,3,8,type2,2.0,3,5,7,4,0.2648
M,35,3,Married,Logistics,Directive,12.0,1,38,0,5,6,type2,3.0,3,2,7,4,0.1047
F,49,5,Single,IT,Analytical,18.0,1,36,1,3,6,type4,3.0,3,2,7,3,0.0765
F,46,4,Married,IT,Conceptual,7.0,3,69,0,4,1,type2,4.0,3,3,7,5,0.0817
M,28,3,Married,Operarions,Analytical,5.0,2,45,1,4,10,type2,2.0,3,3,9,3,0.1985
M,44,2,Married,Accounting and Finance,Behavioral,19.0,4,37,1,2,5,type3,2.0,5,2,6,1,0.9688
F,44,3,Single,Sales,Conceptual,17.0,2,69,1,1,7,type3,1.0,4,3,6,3,0.0451
M,30,3,Married,Accounting and Finance,Conceptual,8.0,4,62,1,2,5,type2,1.0,4,3,8,3,0.1199
M,23,4,Married,Operarions,Conceptual,4.0,1,69,2,3,7,type3,1.0,4,3,7,4,0.0176
F,45,4,Married,Operarions,Directive,21.0,2,55,2,3,5,type2,2.0,3,4,9,4,0.1864
F,39,3,Married,Operarions,Directive,4.0,2,56,1,2,4,type3,1.0,3,3,8,3,0.1718
M,35,4,Married,Quality,Conceptual,8.0,3,43,1,5,4,type4,3.0,2,3,7,3,0.1249
F,47,4,Married,IT,Directive,16.0,3,37,1,4,7,type2,1.0,3,4,8,3,0.1409
F,19,4,Single,R&D,Conceptual,0.0,0,64,2,3,6,type3,3.0,4,3,6,3,0.4898
M,34,3,Single,Production,Directive,11.0,4,43,1,2,8,type2,4.0,3,1,8,3,0.0428
M,36,4,Married,Operarions,Analytical,8.0,4,49,1,2,8,type2,1.0,4,3,5,5,0.0929
M,45,4,Married,Purchasing,Directive,11.0,1,58,2,3,5,type2,1.0,1,3,5,1,0.1277
M,49,5,Married,Accounting and Finance,Conceptual,14.0,1,29,0,1,3,type2,3.0,3,4,8,3,0.0059
F,20,5,Single,IT,Directive,1.0,1,23,1,2,7,type3,5.0,4,2,7,3,0.0861
F,32,4,Married,Sales,Conceptual,3.0,1,41,1,4,7,type2,2.0,3,2,8,4,0.1153
M,60,3,Married,Operarions,Directive,30.0,3,59,0,2,4,type3,3.0,3,5,8,3,0.1253
F,45,4,Married,Human Resource Management,Analytical,16.0,3,24,1,1,4,type3,1.0,3,3,7,4,0.1815
F,33,4,Married,IT,Directive,9.0,1,69,1,2,7,type2,2.0,4,2,7,4,0.0571
F,25,3,Single,IT,Conceptual,6.0,4,21,0,3,7,type3,2.0,2,1,8,3,0.0293
M,52,3,Married,Operarions,Behavioral,19.0,2,61,1,3,4,type3,3.0,3,3,7,3,0.1628
F,42,3,Married,Sales,Behavioral,18.0,3,20,0,4,8,type2,4.0,3,3,8,3,0.1378
F,28,5,Married,Accounting and Finance,Directive,6.0,2,51,1,2,2,type2,3.0,4,4,7,3,0.0089
F,33,4,Single,R&D,Behavioral,9.0,2,57,1,2,8,type3,3.0,4,4,7,3,0.2287
F,35,4,Married,Operarions,Directive,13.0,1,57,0,2,6,type2,3.0,4,3,5,3,0.172
F,28,4,Married,IT,Behavioral,5.0,2,65,2,5,9,type2,4.0,3,4,6,4,0.1669
F,44,1,Single,Logistics,Behavioral,9.0,3,69,0,3,5,type0,3.0,4,3,9,3,0.5482
F,32,3,Single,Quality,Conceptual,7.0,1,58,0,5,3,type2,1.0,1,5,8,5,0.1672
M,44,3,Single,Accounting and Finance,Directive,13.0,4,32,0,3,4,type4,3.0,3,3,5,3,0.0637
F,42,2,Single,Accounting and Finance,Conceptual,7.0,2,26,1,3,5,type2,1.0,3,3,6,3,0.1831
M,33,3,Single,Logistics,Directive,10.0,2,60,1,3,5,type3,1.0,3,3,7,5,0.1442
M,32,4,Married,Logistics,Analytical,3.0,3,28,1,4,8,type3,3.0,2,4,5,3,0.193
M,27,3,Married,Marketing,Behavioral,5.0,3,66,1,2,5,type2,2.0,3,3,8,3,0.0381
M,56,3,Married,Operarions,Directive,22.0,3,24,0,5,7,type3,3.0,3,3,7,4,0.094
F,25,2,Single,R&D,Behavioral,13.385064177362894,4,64,0,4,3,type2,1.0,3,2,8,2,0.0371
F,36,3,Single,IT,Conceptual,9.0,1,65,1,2,8,type3,3.0,3,2,8,4,0.0127
F,27,2,Married,R&D,Behavioral,4.0,4,31,1,5,4,type2,4.0,3,3,6,3,0.4445
F,64,3,Single,Purchasing,Behavioral,30.0,2,72,2,1,7,type3,1.0,3,2,6,3,0.2106
F,25,3,Single,Quality,Analytical,6.0,2,29,0,5,8,type3,4.0,3,2,7,5,0.1056
M,44,3,Married,Purchasing,Behavioral,14.0,4,69,1,5,3,type3,4.0,4,2,7,3,0.1425
F,26,2,Married,Operarions,Conceptual,4.0,4,72,1,4,4,type2,3.0,3,2,8,4,0.115
M,46,4,Single,IT,Behavioral,12.0,4,41,0,2,6,type2,2.0,3,3,7,3,0.1474
M,19,3,Married,Marketing,Behavioral,0.0,0,23,1,5,6,type2,4.0,5,4,6,2,0.0591
F,39,1,Married,Security,Directive,6.0,3,43,1,3,8,type2,2.0,4,4,8,3,0.1269
M,28,3,Married,Quality,Behavioral,4.0,3,52,2,2,7,type3,2.0,4,2,5,2,0.1509
M,26,3,Single,Logistics,Analytical,3.0,3,71,1,3,8,type2,3.0,3,4,7,3,0.8402
F,54,3,Married,Purchasing,Behavioral,21.0,2,68,1,3,1,type3,2.0,4,3,5,3,0.0422
M,22,3,Married,Logistics,Directive,3.0,2,45,2,2,8,type3,1.0,3,5,7,5,0.2803
M,35,5,Single,Logistics,Analytical,13.0,1,37,1,2,8,type3,3.0,3,4,9,3,0.1379
F,22,3,Married,Operarions,Analytical,3.0,3,59,1,2,3,type3,3.0,3,4,8,3,0.1687
M,43,4,Married,Sales,Directive,11.0,3,69,1,1,9,type3,4.0,3,4,6,3,0.1627
M,52,3,Married,Purchasing,Conceptual,20.0,1,35,1,1,6,type2,1.0,3,1,8,3,0.0249
F,58,3,Married,Logistics,Conceptual,28.0,2,30,1,2,5,type2,3.0,1,3,5,3,0.1512
M,22,4,Married,Operarions,Conceptual,3.0,2,59,2,3,9,type3,2.0,3,1,6,4,0.8558
F,50,2,Single,Marketing,Directive,20.0,4,54,1,4,8,type2,2.0,3,1,6,3,0.0991
F,22,2,Married,R&D,Analytical,3.0,3,45,2,4,6,type2,3.0,3,4,8,3,0.059
F,25,4,Married,Production,Conceptual,6.0,4,37,0,5,3,type2,2.0,4,3,8,4,0.0462
F,55,3,Married,Logistics,Conceptual,32.0,1,66,1,2,7,type2,3.0,3,4,8,3,0.1486
F,55,4,Married,IT,Conceptual,29.0,4,38,0,3,8,type2,3.0,3,3,8,5,0.145
F,44,2,Married,Operarions,Analytical,17.0,1,33,0,3,8,type2,1.0,3,2,7,3,0.014
F,27,1,Married,Quality,Behavioral,5.0,4,60,1,2,6,type2,2.0,3,1,8,3,0.0597
M,40,3,Single,Logistics,Analytical,15.0,2,68,0,2,9,type3,3.0,4,2,7,3,0.213
F,60,3,Single,Purchasing,Analytical,36.0,1,21,1,4,7,type2,2.0,3,1,5,2,0.04
F,28,5,Married,IT,Directive,4.0,2,36,2,2,2,type3,1.0,3,3,8,3,0.1974
M,52,1,Single,Operarions,Behavioral,15.0,4,43,0,2,8,type2,3.0,4,2,5,3,0.0502
F,23,4,Married,Production,Conceptual,4.0,4,49,1,3,3,type2,3.0,2,3,5,1,0.0072
F,22,3,Single,Purchasing,Analytical,3.0,1,60,1,3,5,type2,3.0,2,2,6,3,0.0459
F,65,1,Married,IT,Conceptual,39.0,3,57,0,2,8,type2,2.0,3,4,6,3,0.4912
M,46,3,Married,Logistics,Conceptual,12.0,3,55,1,3,3,type2,4.0,3,3,9,3,0.1973
M,49,4,Married,R&D,Behavioral,23.0,3,74,1,2,6,type2,2.0,3,3,5,5,0.1434
F,27,5,Married,Logistics,Conceptual,4.0,1,30,1,3,9,type2,1.0,3,3,8,1,0.0895
F,45,3,Married,Production,Directive,17.0,2,25,1,4,6,type2,3.0,3,3,5,4,0.0427
F,65,3,Single,Purchasing,Directive,33.0,4,54,1,2,8,type2,3.0,4,2,8,5,0.1017
M,39,1,Single,IT,Directive,18.0,1,38,1,5,5,type2,1.0,2,2,6,3,0.2523
F,62,4,Married,Logistics,Conceptual,32.0,4,69,1,3,7,type2,2.0,3,3,5,3,0.6403
F,52,4,Married,IT,Directive,15.0,1,37,1,2,10,type4,3.0,4,2,7,1,0.102
F,45,3,Married,Logistics,Conceptual,15.0,2,63,1,2,8,type3,3.0,3,4,8,2,0.0148
M,41,3,Married,IT,Conceptual,13.0,3,49,2,4,5,type3,1.0,5,2,6,3,0.1739
M,28,4,Married,Purchasing,Behavioral,5.0,1,31,1,4,6,type2,4.0,3,3,5,3,0.1282
F,19,4,Married,Operarions,Conceptual,0.0,0,35,0,3,8,type3,3.0,3,3,7,5,0.1171
M,37,4,Married,IT,Behavioral,12.0,2,74,0,1,9,type3,1.0,3,3,8,5,0.2841
M,30,3,Single,Operarions,Behavioral,7.0,2,25,0,2,2,type3,4.0,1,3,7,4,0.4083
M,59,2,Married,Purchasing,Directive,20.0,2,57,0,3,9,type2,1.0,1,3,9,1,0.3468
M,39,3,Single,Accounting and Finance,Analytical,3.0,2,36,1,5,5,type2,3.0,3,3,7,5,0.0739
M,37,4,Married,Logistics,Analytical,12.0,4,67,1,1,3,type2,1.0,3,3,6,4,0.2427
M,39,1,Single,IT,Conceptual,4.0,1,51,1,3,9,type2,4.0,3,3,5,3,0.1983
F,20,3,Married,Operarions,Conceptual,1.0,1,64,0,1,10,type2,1.0,3,2,7,3,0.2149
M,23,5,Single,Sales,Analytical,4.0,1,30,0,5,6,type3,3.0,4,3,5,3,0.0041
M,25,4,Married,Sales,Behavioral,6.0,2,26,0,3,4,type2,3.0,1,2,7,3,0.1519
F,31,3,Single,Operarions,Conceptual,6.0,1,66,1,2,7,type2,1.0,4,2,8,3,0.1531
F,21,5,Married,Human Resource Management,Conceptual,2.0,1,64,0,5,10,type2,4.0,3,4,8,3,0.3332
F,27,3,Married,Human Resource Management,Analytical,5.0,4,57,0,4,7,type3,1.0,4,3,7,3,0.2213
F,32,4,Married,R&D,Behavioral,7.0,3,45,0,3,8,type2,1.0,4,2,8,3,0.1484
M,32,4,Married,Logistics,Analytical,9.0,1,38,1,4,5,type2,2.0,4,4,7,3,0.639
F,58,4,Married,IT,Analytical,21.0,4,28,1,4,6,type3,3.0,3,2,8,2,0.0119
F,43,4,Single,Accounting and Finance,Behavioral,11.0,3,22,1,3,6,type4,2.0,1,5,6,3,0.1954
F,31,3,Married,Sales,Analytical,2.0,2,34,0,3,7,type3,3.0,3,2,8,1,0.3743
F,60,1,Married,Quality,Analytical,33.0,1,33,1,4,9,type2,3.0,3,3,7,1,0.1124
F,26,1,Single,Logistics,Conceptual,3.0,2,56,0,2,8,type3,1.0,3,3,8,2,0.2167
F,21,4,Single,IT,Analytical,2.0,1,45,1,3,5,type2,3.0,3,3,7,3,0.1026
F,25,1,Single,IT,Analytical,6.0,3,64,1,3,2,type1,2.0,4,4,5,4,0.0015
M,52,4,Single,Logistics,Behavioral,25.0,1,24,0,5,8,type2,1.0,3,4,7,5,0.2981
M,57,3,Single,Accounting and Finance,Analytical,31.0,1,46,2,3,5,type2,4.0,3,2,8,3,0.0521
F,25,4,Married,Logistics,Analytical,6.0,4,74,1,3,5,type2,1.0,4,1,8,3,0.0318
M,26,1,Married,Sales,Conceptual,3.0,2,45,2,2,7,type2,4.0,3,4,9,2,0.0297
M,28,4,Married,IT,Conceptual,6.0,1,66,0,2,5,type3,2.0,1,4,8,3,0.1508
M,37,5,Married,IT,Directive,14.0,4,22,1,1,5,type2,5.0,3,2,6,4,0.2246
M,65,4,Married,R&D,Directive,35.0,2,44,2,4,6,type3,3.0,3,3,8,4,0.1329
M,44,2,Single,Logistics,Behavioral,18.0,2,51,1,1,9,type2,1.0,3,4,5,4,0.0566
M,25,3,Married,R&D,Analytical,6.0,1,73,1,3,8,type2,4.0,4,2,8,3,0.1497
F,37,5,Married,Purchasing,Analytical,15.0,4,57,1,2,5,type2,1.0,4,3,8,3,0.1622
F,42,5,Married,Human Resource Management,Conceptual,4.0,4,34,0,4,2,type2,1.0,3,5,8,3,0.0495
F,55,4,Married,Human Resource Management,Analytical,29.0,3,59,2,4,7,type2,4.0,5,2,7,3,0.1895
M,38,3,Single,Security,Analytical,16.0,3,21,1,5,5,type4,2.0,3,3,8,4,0.0974
F,26,4,Married,Production,Conceptual,3.0,2,61,1,2,6,type2,2.0,3,3,6,4,0.1873
F,19,3,Married,Operarions,Behavioral,0.0,0,24,2,2,2,type2,2.0,3,4,8,3,0.1586
M,25,4,Married,Operarions,Behavioral,6.0,2,43,1,3,9,type3,4.0,1,2,5,3,0.224
M,34,3,Single,Sales,Behavioral,6.0,4,47,0,2,4,type4,1.0,3,4,8,3,0.9143
M,37,3,Married,IT,Conceptual,10.0,3,46,0,3,10,type2,4.0,3,3,8,5,0.0314
F,47,4,Married,R&D,Directive,20.0,1,71,1,3,10,type2,1.0,4,3,5,3,0.0207
F,36,4,Married,Human Resource Management,Behavioral,13.0,1,51,1,5,9,type2,3.0,3,4,8,3,0.0454
F,21,3,Single,Logistics,Behavioral,2.0,2,34,2,3,4,type2,3.0,2,2,5,3,0.0582
M,59,1,Single,R&D,Conceptual,24.0,4,26,1,3,4,type2,3.0,2,3,8,4,0.5295
M,51,4,Married,Sales,Behavioral,18.0,2,52,1,4,6,type2,1.0,3,3,8,3,0.1581
F,47,3,Married,IT,Directive,13.385064177362894,1,48,1,1,3,type2,2.0,3,4,6,3,0.1673
M,41,3,Married,IT,Directive,13.385064177362894,4,52,1,1,6,type3,1.0,2,2,7,3,0.0678
M,36,3,Married,Logistics,Behavioral,12.0,2,24,0,1,3,type2,3.0,3,4,8,5,0.4688
M,30,4,Married,Sales,Analytical,6.0,1,34,1,4,9,type2,1.0,4,3,7,3,0.0758
F,65,3,Married,Logistics,Behavioral,38.0,3,69,1,5,9,type2,3.0,3,2,8,3,0.0899
M,40,3,Married,IT,Analytical,14.0,1,51,1,3,6,type3,4.0,4,5,6,3,0.0514
M,24,4,Married,Operarions,Directive,5.0,1,24,1,4,4,type3,4.0,5,3,8,3,0.0607
M,25,2,Married,R&D,Behavioral,6.0,3,33,1,2,5,type2,1.0,3,3,5,3,0.0976
M,56,2,Married,Human Resource Management,Conceptual,33.0,2,24,1,3,8,type2,3.0,3,2,9,5,0.3726
F,28,3,Married,IT,Conceptual,5.0,4,30,1,3,6,type2,3.0,3,2,9,2,0.0561
M,33,4,Married,IT,Conceptual,9.0,2,24,2,4,5,type2,4.0,3,5,7,4,0.1787
M,47,1,Married,IT,Behavioral,22.0,4,62,1,3,5,type3,1.0,3,3,7,3,0.1511
F,22,3,Married,Human Resource Management,Behavioral,3.0,3,33,0,2,5,type2,1.0,3,3,6,5,0.0079
F,43,4,Single,Human Resource Management,Analytical,10.0,4,48,2,2,7,type2,2.0,4,2,7,3,0.0321
M,56,4,Married,Sales,Conceptual,29.0,1,61,2,4,7,type2,2.0,2,4,8,3,0.239
F,47,3,Married,IT,Directive,18.0,3,70,0,3,4,type2,2.0,4,3,8,1,0.5773
F,38,1,Married,IT,Conceptual,16.0,3,36,1,3,4,type1,1.0,3,2,7,1,0.2165
M,22,4,Married,Security,Directive,3.0,3,66,1,5,7,type2,3.0,5,3,6,3,0.1324
M,61,1,Single,R&D,Directive,36.0,1,70,1,5,8,type1,3.0,3,1,7,3,0.014
M,32,3,Married,Sales,Conceptual,4.0,3,59,0,3,6,type2,1.0,1,3,7,3,0.17
M,23,1,Married,Logistics,Directive,4.0,3,37,1,3,8,type2,2.0,3,5,8,3,0.0585
M,26,3,Married,Logistics,Directive,3.0,2,61,0,2,5,type2,3.0,3,4,8,3,0.0104
F,47,1,Married,Accounting and Finance,Analytical,10.0,4,27,2,3,5,type3,1.0,3,4,8,2,0.0291
M,37,1,Single,R&D,Directive,15.0,1,21,1,1,3,type2,4.0,5,1,7,3,0.0686
F,48,3,Married,Marketing,Analytical,26.0,4,70,0,4,6,type2,2.0,4,4,7,4,0.2669
F,26,3,Married,Logistics,Conceptual,4.0,4,51,1,3,5,type2,4.0,2,2,5,3,0.1323
F,35,4,Single,Logistics,Directive,13.385064177362894,1,50,1,2,7,type2,4.0,4,4,8,5,0.2597
M,32,3,Single,IT,Directive,5.0,4,48,1,1,3,type2,3.0,2,3,7,5,0.142
F,45,2,Married,IT,Directive,14.0,4,67,0,3,7,type3,1.0,3,3,9,3,0.0902
M,31,3,Single,Logistics,Directive,5.0,2,35,1,2,8,type3,1.0,3,1,9,3,0.0354
M,45,4,Married,IT,Conceptual,7.0,1,65,1,2,5,type3,3.0,3,2,8,3,0.0819
M,46,4,Single,Purchasing,Behavioral,15.0,4,73,0,3,8,type3,3.0,3,1,5,3,0.1739
F,60,5,Single,Human Resource Management,Conceptual,22.0,1,66,1,4,7,type3,1.0,3,4,9,5,0.0547
F,31,1,Married,Operarions,Behavioral,3.0,3,21,1,3,9,type0,3.0,4,3,7,3,0.2683
F,49,2,Married,Production,Behavioral,23.0,4,20,0,2,8,type3,2.0,4,3,6,3,0.0161
F,20,3,Married,IT,Behavioral,1.0,1,21,0,2,1,type3,3.0,3,3,7,5,0.2111
F,23,5,Married,Sales,Analytical,4.0,1,56,1,4,4,type2,2.0,3,2,8,4,0.2454
M,52,3,Married,Operarions,Analytical,18.0,3,62,2,3,2,type2,1.0,3,3,8,5,0.1726
F,23,3,Married,Logistics,Conceptual,4.0,3,50,1,3,7,type0,4.0,3,3,7,3,0.1715
F,38,5,Married,R&D,Conceptual,10.0,3,39,1,3,8,type3,3.0,3,3,5,3,0.017
F,26,3,Married,Human Resource Management,Conceptual,4.0,2,46,0,4,5,type3,4.0,3,5,7,5,0.0942
F,47,1,Single,Logistics,Directive,9.0,3,29,2,3,1,type3,3.0,3,4,7,3,0.0779
F,39,4,Single,Logistics,Directive,14.0,3,41,0,4,5,type2,2.0,4,2,7,3,0.1002
F,38,4,Married,Operarions,Analytical,13.385064177362894,1,44,2,5,8,type2,3.0,4,1,6,3,0.0887
M,33,5,Married,Human Resource Management,Analytical,7.0,3,58,0,3,9,type3,2.0,4,2,7,2,0.2794
F,26,2,Married,Sales,Behavioral,3.0,2,50,0,2,8,type2,1.0,4,2,7,2,0.0073
F,42,3,Married,Accounting and Finance,Analytical,7.0,3,64,0,2,2,type3,1.0,3,4,8,1,0.0071
M,45,1,Married,IT,Conceptual,19.0,3,41,0,1,2,type3,3.0,1,3,5,4,0.0869
F,58,2,Married,Logistics,Directive,13.385064177362894,2,34,1,3,8,type2,3.0,3,2,6,3,0.1099
F,22,4,Single,Accounting and Finance,Conceptual,3.0,1,44,2,4,1,type3,2.0,2,1,5,3,0.1468
F,20,1,Married,IT,Directive,1.0,1,43,1,4,4,type3,1.0,3,4,8,3,0.0948
F,19,2,Single,R&D,Behavioral,0.0,0,49,0,3,4,type2,1.0,3,3,8,3,0.2516
F,23,4,Married,Marketing,Directive,4.0,1,39,1,3,7,type2,1.0,3,3,7,5,0.4263
M,59,3,Married,Sales,Directive,20.0,3,73,0,4,5,type2,1.0,2,4,8,4,0.1133
F,47,3,Married,Sales,Directive,15.0,3,38,1,2,9,type3,3.0,3,2,6,4,0.0969
F,20,1,Married,Logistics,Analytical,1.0,1,50,2,3,7,type2,3.0,3,3,8,5,0.014
F,39,4,Single,R&D,Directive,14.0,3,69,1,4,6,type3,1.0,3,3,6,3,0.2465
F,35,4,Married,R&D,Behavioral,10.0,4,70,1,4,6,type4,3.0,4,3,8,3,0.1056
F,58,4,Married,Sales,Conceptual,22.0,4,54,1,4,2,type2,3.0,3,1,8,3,0.062
F,64,5,Single,Human Resource Management,Behavioral,32.0,3,49,2,3,3,type2,2.0,4,1,7,3,0.1491
F,45,5,Married,Logistics,Conceptual,10.0,3,28,1,5,6,type3,3.0,3,3,8,5,0.187
M,52,1,Single,Logistics,Conceptual,26.0,4,60,1,4,9,type3,2.0,3,1,8,4,0.102
M,61,3,Single,Operarions,Directive,36.0,1,73,2,2,5,type3,1.0,4,4,6,3,0.2554
M,55,5,Single,Logistics,Behavioral,25.0,4,51,0,3,6,type2,2.0,3,3,8,1,0.133
F,21,3,Married,Sales,Behavioral,2.0,2,59,1,5,9,type3,3.0,2,3,5,3,0.2513
F,23,3,Married,Sales,Behavioral,4.0,4,20,1,3,10,type2,2.0,4,3,9,3,0.0202
F,19,3,Single,R&D,Conceptual,0.0,0,23,2,3,7,type3,3.0,3,3,8,3,0.6712
F,46,3,Married,R&D,Analytical,12.0,1,28,1,3,5,type2,4.0,3,2,5,5,0.1813
F,28,5,Married,Sales,Analytical,6.0,2,67,0,5,4,type2,1.0,3,2,5,4,0.3221
F,59,5,Married,Purchasing,Conceptual,21.0,3,37,1,3,8,type2,2.0,3,2,8,2,0.23
F,61,3,Married,Accounting and Finance,Behavioral,30.0,4,40,0,2,7,type3,3.0,3,4,5,3,0.2553
F,47,1,Single,Accounting and Finance,Conceptual,13.385064177362894,4,47,1,5,8,type2,2.0,5,1,6,2,0.7177
M,59,4,Single,Logistics,Analytical,27.0,1,46,1,5,7,type3,3.0,3,2,5,5,0.1125
M,39,2,Married,Purchasing,Analytical,12.0,4,71,1,3,7,type2,1.0,4,2,6,3,0.0578
F,34,4,Single,Logistics,Analytical,9.0,2,58,0,4,7,type2,2.0,3,3,7,2,0.5313
F,26,3,Married,Logistics,Directive,4.0,1,36,0,1,7,type2,3.0,4,3,5,3,0.0284
M,60,5,Married,Operarions,Directive,34.0,4,41,1,4,8,type2,2.0,3,3,6,4,0.0711
M,53,3,Married,Accounting and Finance,Analytical,18.0,4,31,1,1,8,type2,3.0,3,3,6,4,0.1719
F,64,1,Single,Operarions,Directive,37.0,1,69,0,4,6,type3,4.0,4,2,7,4,0.0313
M,56,3,Married,IT,Directive,19.0,1,44,1,4,1,type2,1.0,3,2,7,2,0.1166
F,49,3,Single,IT,Conceptual,13.0,2,21,1,3,4,type2,3.0,4,4,8,3,0.1998
M,19,4,Married,Human Resource Management,Behavioral,0.0,0,60,1,1,7,type3,1.0,3,1,6,1,0.2466
F,26,3,Single,Marketing,Directive,3.0,2,58,1,3,4,type3,4.0,3,4,8,5,0.0646
M,54,3,Single,Logistics,Analytical,30.0,3,36,1,5,8,type2,1.0,4,2,8,2,0.0487
M,47,2,Married,Sales,Behavioral,23.0,3,40,2,1,4,type3,2.0,2,2,6,3,0.3543
F,34,2,Married,Operarions,Conceptual,8.0,4,29,2,4,6,type2,1.0,3,1,8,4,0.1422
F,36,2,Single,R&D,Conceptual,9.0,1,20,0,3,6,type2,3.0,3,4,8,4,0.0714
F,39,3,Married,IT,Behavioral,31.0,4,48,1,3,8,type3,4.0,3,3,7,3,0.0456
M,31,1,Married,IT,Directive,6.0,4,60,1,1,4,type2,3.0,3,3,5,3,0.7941
M,48,1,Single,Production,Directive,18.0,3,26,0,3,2,type3,1.0,3,2,8,3,0.6074
F,39,4,Married,Marketing,Directive,5.0,3,68,2,3,4,type3,2.0,3,3,7,3,0.1065
M,65,5,Married,Purchasing,Directive,39.0,3,37,0,1,5,type2,2.0,3,3,5,3,0.173
F,41,4,Single,Production,Conceptual,18.0,3,30,1,2,6,type2,4.0,3,4,5,3,0.0079
F,62,4,Married,IT,Directive,39.0,3,71,1,2,7,type3,4.0,3,3,9,3,0.1539
F,55,4,Single,Production,Conceptual,23.0,1,34,1,5,8,type2,3.0,3,2,8,3,0.487
F,44,3,Single,Accounting and Finance,Directive,8.0,2,33,2,3,5,type2,2.0,3,3,6,3,0.1491
F,42,3,Married,Marketing,Conceptual,3.0,3,61,1,5,5,type2,1.0,3,2,8,1,0.1603
M,20,3,Married,Operarions,Analytical,1.0,1,67,0,3,5,type3,3.0,1,1,8,3,0.1455
F,34,5,Married,Human Resource Management,Analytical,8.0,3,68,1,2,4,type2,4.0,4,4,6,3,0.0025
F,65,1,Married,Sales,Analytical,42.0,1,70,2,5,7,type2,1.0,3,2,5,3,0.1335
F,20,2,Married,Human Resource Management,Conceptual,1.0,1,36,0,3,5,type2,4.0,4,3,5,3,0.2733
F,28,1,Married,Sales,Conceptual,4.0,2,61,0,2,6,type3,1.0,3,2,9,3,0.1639
M,25,3,Married,IT,Behavioral,6.0,4,58,0,2,2,type2,1.0,4,2,9,4,0.1652
M,37,3,Single,Purchasing,Directive,13.0,3,36,1,4,8,type2,2.0,1,4,5,3,0.0956
M,60,4,Married,Production,Directive,38.0,1,72,0,3,5,type3,1.0,3,2,6,5,0.0751
F,22,4,Married,Security,Conceptual,3.0,3,55,1,2,6,type3,1.0,4,2,7,4,0.0389
M,37,4,Single,Human Resource Management,Analytical,12.0,2,69,0,1,7,type3,2.0,3,1,5,4,0.104
F,35,3,Married,Operarions,Behavioral,8.0,3,33,1,3,5,type2,2.0,3,4,7,4,0.2759
M,27,4,Married,Sales,Directive,4.0,2,68,1,2,3,type2,3.0,3,3,8,3,0.1514
M,39,2,Married,Production,Conceptual,4.0,2,73,1,3,6,type1,2.0,4,2,9,3,0.1734
F,53,3,Married,Logistics,Conceptual,26.0,3,60,2,3,5,type2,4.0,3,3,9,3,0.0792
F,62,3,Married,Accounting and Finance,Conceptual,26.0,2,42,1,2,8,type2,1.0,2,4,8,1,0.3486
M,21,3,Married,Sales,Conceptual,2.0,1,62,0,4,8,type2,4.0,3,4,9,5,0.0634
F,54,5,Married,R&D,Conceptual,32.0,1,66,1,3,4,type2,4.0,3,3,6,2,0.9242
F,25,3,Married,IT,Conceptual,6.0,4,61,1,1,2,type3,1.0,3,3,9,2,0.14400000000000002
F,32,4,Married,R&D,Directive,3.0,3,31,0,3,4,type2,1.0,3,3,7,4,0.8953
F,19,4,Single,Logistics,Directive,0.0,0,71,1,3,5,type2,2.0,4,3,6,4,0.0891
